stationCode,stationName,name,stationAddrtw,stationTel,gps,haveBike
900,基隆,基隆,,02-24263743,25.13411 121.73997,Y
910,三坑,三坑,,02-24230289,25.12305 121.74202,Y
920,八堵,八堵,,02-24560841,25.10843 121.72898,Y
930,七堵,七堵,,02-24553426,25.09294 121.71415,Y
940,百福,百福,,02-24528372,25.07795 121.69379,N
950,五堵,五堵,,02-86476200,25.07784 121.66764,Y
960,汐止,汐止,,02-26415096,25.06814 121.66121,Y
970,汐科,汐科,,02-26499817#8730,25.06261 121.64659,N
980,南港,南港,,02-27838645,25.05348 121.60706,Y
990,松山,松山,,02-27673819,25.04921 121.57841,Y
1000,臺北,臺北,,02-23713558,25.04771 121.51784,N
1001,臺北-環島,臺北-環島,,,25.04811 121.51793,N
1010,萬華,萬華,,02-23020481,25.03348 121.49984,Y
1020,板橋,板橋,,02-89691036,25.01404 121.46403,Y
1030,浮洲,浮洲,,02-23815226#4665,25.00419 121.44477,N
1040,樹林,樹林,,02-26812052,24.99121 121.42481,Y
1050,南樹林,南樹林,,02-26812052,24.98034 121.40891,N
1060,山佳,山佳,,02-26808874,24.97233 121.39273,N
1070,鶯歌,鶯歌,,02-26792004,24.95432 121.35535,Y
1080,桃園,桃園,,03-3767050,24.98941 121.31399,Y
1090,內壢,內壢,,03-4559725,24.97281 121.25826,N
1100,中壢,中壢,,03-4223235,24.95364 121.22559,Y
1110,埔心,埔心,,03-4827100,24.91945 121.18366,Y
1120,楊梅,楊梅,,03-4782893,24.91434 121.14645,Y
1130,富岡,富岡,,03-4723754,24.93456 121.08304,Y
1140,新富,新富,,03-4723754,24.93107 121.06759,N
1150,北湖,北湖,,03-5993850,24.92191 121.05586,Y
1160,湖口,湖口,,03-5992192,24.90292 121.04412,Y
1170,新豐,新豐,,03-5596314,24.86961 120.99654,Y
1180,竹北,竹北,,03-5552024,24.83892 121.00936,Y
1190,北新竹,北新竹,,03-5237441,25.07794 121.69378,N
1191,千甲,千甲,,03-5237441,24.80669 121.00301,N
1192,新莊,新莊,,03-5237441,24.78819 121.02182,N
1193,竹中,竹中,,03-5962042,24.78141 121.03138,N
1194,六家,六家,,03-5962042,24.80766 121.03941,N
1201,上員,上員,,03-5962042,24.77776 121.05582,N
1202,榮華,榮華,,03-5962042,24.74839 121.08319,N
1203,竹東,竹東,,03-5962042,24.73823 121.09472,N
1204,橫山,橫山,,03-5962042,24.72041 121.11772,N
1205,九讚頭,九讚頭,,03-5962042,24.72062 121.13622,N
1206,合興,合興,,03-5962042,24.71667 121.15437,N
1207,富貴,富貴,,03-5962042,24.71559 121.16732,N
1208,內灣,內灣,,03-5962042,24.70535 121.18255,N
1210,新竹,新竹,,03-5237441,24.80172 120.97166,Y
1220,三姓橋,三姓橋,,03-5237441,24.78734 120.92846,Y
1230,香山,香山,,03-5237441,24.76321 120.91391,Y
1240,崎頂,崎頂,,037-472030,24.72291 120.87183,N
1250,竹南,竹南,,037-472030,24.68663 120.88041,Y
2110,談文,談文,,037-472030,24.65641 120.85825,N
2120,大山,大山,,037-431208,24.64565 120.80376,N
2130,後龍,後龍,,037-728616,24.61621 120.78731,Y
2140,龍港,龍港,,037-728616,24.61169 120.75812,N
2150,白沙屯,白沙屯,,037-793066,24.56481 120.70824,Y
2160,新埔,新埔,,037-793066,24.54018 120.69518,N
2170,通霄,通霄,,037-758300,24.49141 120.67843,Y
2180,苑裡,苑裡,,037-851013,24.44344 120.65146,Y
2190,日南,日南,,04-26816113,24.37805 120.65412,Y
2200,大甲,大甲,,04-26872022,24.34448 120.62702,Y
2210,臺中港,臺中港,,04-26225374,24.30441 120.60231,N
2220,清水,清水,,04-26222021,24.26364 120.56918,Y
2230,沙鹿,沙鹿,,04-26625057,24.23702 120.55752,Y
2240,龍井,龍井,,04-26355578,24.19748 120.54335,Y
2250,大肚,大肚,,04-26992523,24.15441 120.54255,Y
2260,追分,追分,,04-26933106,24.12051 120.57018,N
3140,造橋,造橋,,037-472030,24.64186 120.86721,N
3150,豐富,豐富,,037-726700,24.60442 120.82636,Y
3160,苗栗,苗栗,,037-260031,24.57008 120.82233,Y
3170,南勢,南勢,,037-260031,24.52268 120.79154,N
3180,銅鑼,銅鑼,,037-983838,24.48648 120.78616,Y
3190,三義,三義,,037-874763,24.42066 120.77393,Y
3210,泰安,泰安,,04-25586540,24.33146 120.74181,N
3220,后里,后里,,04-25562038,24.30933 120.73288,Y
3230,豐原,豐原,,04-25207950#32,24.25431 120.72351,Y
3240,栗林,栗林,,04-25391401,24.23481 120.71069,Y
3250,潭子,潭子,,04-25363852,24.21255 120.70584,Y
3260,頭家厝,頭家厝,,04-25391426,24.19572 120.70398,N
3270,松竹,松竹,,04-22473033,24.18045 120.70197,Y
3280,太原,太原,,04-22313926,24.16449 120.69988,Y
3290,精武,精武,,04-23606501,24.14928 120.69777,Y
3300,臺中,臺中,,04-22227236,24.13747 120.68691,Y
3310,五權,五權,,04-22601636,24.12892 120.66657,Y
3320,大慶,大慶,,04-22637940,24.11911 120.64795,Y
3330,烏日,烏日,,04-23381071,24.10867 120.62244,N
3340,新烏日,新烏日,,04-23376883,24.10937 120.61421,Y
3350,成功,成功,,04-23371986,24.11424 120.59021,Y
3360,彰化,彰化,,04-7274218#11,24.08177 120.53854,Y
3370,花壇,花壇,,04-7881418,24.08173 120.53833,Y
3380,大村,大村,,04-8525148,23.99003 120.56068,N
3390,員林,員林,,04-8320544#15,23.95932 120.56982,Y
3400,永靖,永靖,,04-8320544#15,23.92817 120.57167,N
3410,社頭,社頭,,04-8711646,23.89571 120.58082,Y
3420,田中,田中,,04-8742142,23.85827 120.59121,Y
3430,二水,二水,,04-8792027,23.81321 120.61805,Y
3431,源泉,源泉,,04-8792027,23.79846 120.64208,N
3432,濁水,濁水,,049-2735850,23.83467 120.70467,N
3433,龍泉,龍泉,,04-8792027,23.83521 120.74996,N
3434,集集,集集,,049-2762546,23.82653 120.78491,N
3435,水里,水里,,049-2770015,23.81851 120.85331,N
3436,車埕,車埕,,049-2774749,23.83263 120.86572,N
3450,林內,林內,,05-5892040,23.75967 120.61499,Y
3460,石榴,石榴,,05-5332900,23.73167 120.57998,N
3470,斗六,斗六,,05-5332900,23.71157 120.54117,Y
3480,斗南,斗南,,05-5972039,23.67269 120.48072,Y
3490,石龜,石龜,,05-5972039,23.63951 120.47106,N
4050,大林,大林,,05-2654804,23.60112 120.45585,Y
4060,民雄,民雄,,05-2264272,23.55502 120.43136,Y
